fecha,ID,mes,muestreador,toponimia,localidad,sitio,transecto,distancia_localidad_km,distance,day,num_mes,month,orientation,density,X,Y
2014-08-16,Cabo Palos Sur 5,Agosto,Kilian,Cabo Palos Sur,Cabo Palos,2,5,23.7,23.7,16,2,August,E,0,-0.6982150488145734,37.63033101772772
2014-08-16,Cabo Palos Sur 6,Agosto,Kilian,Cabo Palos Sur,Cabo Palos,2,6,23.7,23.7,16,2,August,E,0,-0.6989474805769089,37.63041991575566
2014-08-13,Cala Cortina Norte 1,Agosto,Kilian,Cala Cortina Norte,Calacortina,1,1,-12.6,12.6,13,2,August,W,0.6,-0.9749967500983228,37.58098431509958
2014-08-13,Cala Cortina Norte 2,Agosto,Kilian,Cala Cortina Norte,Calacortina,1,2,-12.6,12.6,13,2,August,W,0.6,-0.9750597917674639,37.58033486269096
2014-08-13,Cala Cortina Norte 3,Agosto,Kilian,Cala Cortina Norte,Calacortina,1,3,-12.6,12.6,13,2,August,W,0.2,-0.9749603531298621,37.57981434766932
2014-08-13,Cala Cortina Norte 4,Agosto,Kilian,Cala Cortina Norte,Calacortina,1,4,-12.6,12.6,13,2,August,W,0,-0.9756821958419826,37.579387635252175
2014-08-13,Cala Cortina Norte 5,Agosto,Kilian,Cala Cortina Norte,Calacortina,1,5,-12.6,12.6,13,2,August,W,0,-0.9759048073918134,37.5787321087419
2014-08-13,Cala Cortina Norte 6,Agosto,Kilian,Cala Cortina Norte,Calacortina,1,6,-12.6,12.6,13,2,August,W,0,-0.9761632876451245,37.57771503763012
2014-08-13,Cala Cortina Sur 1,Agosto,Pablo A,Cala Cortina Sur,Calacortina,2,1,-12.6,12.6,13,2,August,W,1,-0.9760037822798991,37.581011767382705
2014-08-13,Cala Cortina Sur 2,Agosto,Pablo A,Cala Cortina Sur,Calacortina,2,2,-12.6,12.6,13,2,August,W,0,-0.9771788826155267,37.58076473063874
2014-08-13,Cala Cortina Sur 3,Agosto,Pablo A,Cala Cortina Sur,Calacortina,2,3,-12.6,12.6,13,2,August,W,0,-0.9783307316805951,37.58140518748672
