fecha,mes,muestreador,toponimia,localidad,sitio,transecto,distancia_localidad_km,distance,day,num_mes,month,orientation,density,size,number
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,34,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,35,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,36,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,37,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,38,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,40,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,42,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,43,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,44,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,45,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,46,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,48,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,50,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,52,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,54,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,55,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,56,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,60,0
2014-07-14,Julio,David,Gorguel Norte,Gorguel,1,6,0.7,0.7,14,1,July,E,60,65,0
2014-07-14,Julio,Kilian,Gorguel Sur,Gorguel,2,1,0.7,0.7,14,1,July,E,6,10,0
2014-07-14,Julio,Kilian,Gorguel Sur,Gorguel,2,1,0.7,0.7,14,1,July,E,6,11,0
2014-07-14,Julio,Kilian,Gorguel Sur,Gorguel,2,1,0.7,0.7,14,1,July,E,6,12,30
2014-07-14,Julio,Kilian,Gorguel Sur,Gorguel,2,1,0.7,0.7,14,1,July,E,6,13,0
2014-07-14,Julio,Kilian,Gorguel Sur,Gorguel,2,1,0.7,0.7,14,1,July,E,6,14,0
2014-07-14,Julio,Kilian,Gorguel Sur,Gorguel,2,1,0.7,0.7,14,1,July,E,6,15,0
2014-07-14,Julio,Kilian,Gorguel Sur,Gorguel,2,1,0.7,0.7,14,1,July,E,6,16,0
2014-07-14,Julio,Kilian,Gorguel Sur,Gorguel,2,1,0.7,0.7,14,1,July,E,6,17,0
2014-07-14,Julio,Kilian,Gorguel Sur,Gorguel,2,1,0.7,0.7,14,1,July,E,6,18,0
2014-07-14,Julio,Kilian,Gorguel Sur,Gorguel,2,1,0.7,0.7,14,1,July,E,6,19,0
2014-07-14,Julio,Kilian,Gorguel Sur,Gorguel,2,1,0.7,0.7,14,1,July,E,6,20,0
2014-07-14,Julio,Kilian,Gorguel Sur,Gorguel,2,1,0.7,0.7,14,1,July,E,6,22,0
2014-07-14,Julio,Kilian,Gorguel Sur,Gorguel,2,1,0.7,0.7,14,1,July,E,6,24,0
2014-07-14,Julio,Kilian,Gorguel Sur,Gorguel,2,1,0.7,0.7,14,1,July,E,6,25,0
2014-07-14,Julio,Kilian,Gorguel Sur,Gorguel,2,1,0.7,0.7,14,1,July,E,6,26,0
2014-07-14,Julio,Kilian,Gorguel Sur,Gorguel,2,1,0.7,0.7,14,1,July,E,6,27,0
2014-07-14,Julio,Kilian,Gorguel Sur,Gorguel,2,1,0.7,0.7,14,1,July,E,6,28,0
2014-07-14,Julio,Kilian,Gorguel Sur,Gorguel,2,1,0.7,0.7,14,1,July,E,6,30,0
